School Name,SCORE
Britannia,4.5
David Thompson,7.1
Eric Hamber,6.8
Gladstone,5
John Oliver,5.2
Killarney,4.5
King George,4.7
Kitsilano,6.6
Lord Byng,8.4
Magee,7.2
Notre Dame Regional,7.4
Point Grey,7.4
Prince of Wales,6.3
Sir Charles Tupper,5.4
Sir Winston Churchill,5.9
St Patrick Regional,5.3
Templeton,6.3
Vancouver Technical,5.8
Windermere,5.8
King David,8.7
Little Flower,10
The Westside,4.5
York House,9.6
Blessed Sacrament,9.3
Captain James Cook,6.1
Carnarvon,7
Charles Dickens,5.1
Corpus Christi,10
Crofton House,10
David Lloyd George,5.3
Dr Annie B Jamieson,8.1
Dr George M Weir,6.9
Dr R E McKechnie,7.4
Edith Cavell,6.6
Elsie Roy,6.4
G T Cunningham,5.2
General Brock,5.8
Hastings,6.6
Henry Hudson,5.8
Immaculate Conception,9.2
J.W. Sexsmith,6.9
John Henderson,3.5
John Norquay,5.9
Ecole Jules Quesnel,7.1
Kerrisdale,7.1
L'Ecole Bilingue,6.8
Laura Secord,6.3
David Livingstone,5.4
Lord Kitchener,7.6
Lord Nelson,6.7
Lord Roberts,5
Lord Tennyson,6.3
Maple Grove,8.6
Nootka,4.8
Norma Rose Point,7.1
Our Lady of Perpetual Help,9.7
Our Lady of Sorrows,10
Queen Elizabeth,5.5
Quilchena,7.7
Renfrew,6.7
Shaughnessy,6.8
Simon Fraser,6.6
Sir Alexander Mackenzie,6.9
Sir Charles Kingsford-Smith,7.3
Sir James Douglas,4.5
Sir John Franklin,5.8
Sir Matthew Begbie,7.4
Sir Richard McBride,5.8
Sir Sandford Fleming,6.2
Sir Wilfred Grenfell,5.3
Sir Wilfrid Laurier,7
Sir Wm Van Horne,6.7
Southlands,5.9
St Andrew's,10
St Anthony of Padua,9
St Augustine's,9.6
St Francis of Assisi,9.3
St Francis Xavier,10
St George's,10
St John's,9.5
St Joseph's,7.4
St Jude's,9.8
St Mary's,9
St Patrick's,7.4
Stratford Hall,9.1
Tecumseh,6.6
Trafalgar,6.1
Tyee,8.6
Vancouver Christian,9.9
Vancouver College,10
Vancouver Talmud Torah,8.4
Walter Moberly,4.5
Waverley,6.5
West Point Grey,10
York House Little,10
Graham Bruce,5.4
Sir Guy Carleton,5
David Oppenheimer,6.4
General Gordon,5.9
Queen Mary,5.6
Sir William Osler,7.1
Champlain Heights,3.3
Chief Maquinna,4.8
Dr H N MacCorkindale,6.5
Florence Nightingale,3.4
General Wolfe,4.2
Lord Selkirk,5.2
Lord Strathcona,2.6